"Order #","Order Date","Name","Product ID","SKU","QTY","Gross Sales","Discounts","Net sales","Commission","Deduction","Payout"
376185,"17th Nov 25, 09:19","Dirtwire (LP)",6902525067310,"DIRT012-LP",2,70,0,70,10.08,2.8,57.12
376178,"17th Nov 25, 08:00","Dirtwire Rolling Papers",7205634572334,"DIRT067",2,10,0,10,1.92,0.4,7.68
376155,"16th Nov 25, 18:57","Banjo Hoodie (Black) - 2X-Large",7205634736174,"DIRT069-2X",1,85,0,85,16.32,3.4,65.28
376101,"15th Nov 25, 21:51","Beanie (White)",7205633884206,"DIRT063",1,30,0,30,5.76,1.2,23.04
376075,"15th Nov 25, 15:33","Dirtwire Koozie",7205634146350,"DIRT065",1,5,0,5,0.96,0.2,3.84
376075,"15th Nov 25, 15:33","Pyrochrome - LP",7165521199150,"DIRT057-LP",1,35,0,35,5.04,1.4,28.56
376044,"15th Nov 25, 10:52","Banjo Tee (Atlantic) - Large",7207939211310,"DIRT075-L",1,40,0,40,7.68,1.6,30.72
376011,"14th Nov 25, 18:54","Beanie (Black)",7205634113582,"DIRT064",1,30,0,30,5.76,1.2,23.04
375962,"14th Nov 25, 09:52","Dirtwire (LP)",6902525067310,"DIRT012-LP",1,35,0,35,5.04,1.4,28.56
375910,"13th Nov 25, 16:35","2022 Ghostcatcher Tour Tee (w/no dates) - Small",6914338684974,"DIRT025-S",1,20,0,20,3.84,0.8,15.36
375903,"13th Nov 25, 16:04","Dirtwire All Birds Sticker",7207939440686,"DIRT076",1,5,0,5,0.96,0.2,3.84
375903,"13th Nov 25, 16:04","Banjo Tee (Tye Dye) - X-Large",7207938883630,"DIRT074-XL",1,45,0,45,8.64,1.8,34.56
375903,"13th Nov 25, 16:04","Dirtwire Holographic Sticker",7207940096046,"DIRT077",1,5,0,5,0.96,0.2,3.84
375897,"13th Nov 25, 14:57","Banjo Tee (Atlantic) - X-Large",7207939211310,"DIRT075-XL",1,40,0,40,7.68,1.6,30.72
375845,"12th Nov 25, 17:51","2022 Ghostcatcher Tour Tee (w/no dates) - Small",6914338684974,"DIRT025-S",1,20,0,20,3.84,0.8,15.36
375800,"12th Nov 25, 05:44","Embers Poster Print",7150841233454,"DIRT054",1,30,0,30,5.76,1.2,23.04
375800,"12th Nov 25, 05:44","Banjo Youth Tee (Green) - 16",7205632507950,"DIRT060-16",1,35,0,35,6.72,1.4,26.88
375788,"11th Nov 25, 22:04","Elk Tee - Small",6902491840558,"DIRT004-S",1,25,0,25,4.8,1,19.2
375775,"11th Nov 25, 19:17","Four Directions Hoodie (Black) - Medium",6902490365998,"DIRT002-M",1,50,0,50,9.6,2,38.4
375775,"11th Nov 25, 19:17","Dirtwire Holographic Sticker",7207940096046,"DIRT077",3,15,0,15,2.88,0.6,11.52
375769,"11th Nov 25, 18:52","Dirtwire (LP)",6902525067310,"DIRT012-LP",1,35,0,35,5.04,1.4,28.56
375769,"11th Nov 25, 18:52","Pyrochrome - LP",7165521199150,"DIRT057-LP",1,35,0,35,5.04,1.4,28.56
375763,"11th Nov 25, 18:12","Mushroom Crop Tee - M/L",6902495477806,"DIRT007-M-L",1,25,0,25,4.8,1,19.2
375763,"11th Nov 25, 18:12","Dirtwire Holographic Sticker",7207940096046,"DIRT077",1,5,0,5,0.96,0.2,3.84
375763,"11th Nov 25, 18:12","Banjo Tee (Black) - Small",7205632409646,"DIRT061-S",1,40,0,40,7.68,1.6,30.72
375763,"11th Nov 25, 18:12","Four Directions Bandana",6902496919598,"DIRT009",1,15,0,15,2.88,0.6,11.52
375740,"11th Nov 25, 16:23","Banjo Tee (Atlantic) - Large",7207939211310,"DIRT075-L",1,40,0,40,7.68,1.6,30.72
375728,"11th Nov 25, 15:23","Dirtwire Mountain Print",7107513155630,"DIRT044",1,25,0,25,4.8,1,19.2
375728,"11th Nov 25, 15:23","Dirtwire All Birds Sticker",7207939440686,"DIRT076",2,10,0,10,1.92,0.4,7.68
375728,"11th Nov 25, 15:23","Dirtwire Koozie",7205634146350,"DIRT065",2,10,0,10,1.92,0.4,7.68
375728,"11th Nov 25, 15:23","Dirtwire Holographic Sticker",7207940096046,"DIRT077",2,10,0,10,1.92,0.4,7.68
375713,"11th Nov 25, 13:27","Beanie (Black)",7205634113582,"DIRT064",1,30,0,30,5.76,1.2,23.04
375700,"11th Nov 25, 10:48","Banjo Tee (Atlantic) - Large",7207939211310,"DIRT075-L",1,40,0,40,7.68,1.6,30.72
375689,"11th Nov 25, 01:59","Dirtwire Rolling Papers",7205634572334,"DIRT067",4,20,0,20,3.84,0.8,15.36
375685,"10th Nov 25, 22:42","Joshua Tree Ladies Tee - X-Large",6914331213870,"DIRT022-XL",1,25,0,25,4.8,1,19.2
375685,"10th Nov 25, 22:42","Pyrochrome Dragon Sticker",7114633019438,"DIRT048",1,5,0,5,0.96,0.2,3.84
375665,"10th Nov 25, 19:32","Four Directions Hoodie (Black) - 2X-Large",6902490365998,"DIRT002-2X",1,50,0,50,9.6,2,38.4
375633,"10th Nov 25, 07:13","Banjo Tee (Atlantic) - Medium",7207939211310,"DIRT075-M",1,40,0,40,7.68,1.6,30.72
375524,"8th Nov 25, 13:23","Banjo Tee (Tye Dye) - Medium",7207938883630,"DIRT074-M",1,45,0,45,8.64,1.8,34.56
375486,"7th Nov 25, 22:24","Four Directions Bandana",6902496919598,"DIRT009",1,15,0,15,2.88,0.6,11.52
375473,"7th Nov 25, 19:46","Dragon Baseball Tee - 2X-Large",7075219472430,"DIRT037-2X",1,20,0,20,3.84,0.8,15.36
375423,"7th Nov 25, 11:49","Navy Cact-eye Tee - 3X-Large",6914340913198,"DIRT026-3X",1,20,0,20,3.84,0.8,15.36
375423,"7th Nov 25, 11:49","2022 Ghostcatcher Tour Tee (w/no dates) - 3X-Large",6914338684974,"DIRT025-3X",1,20,0,20,3.84,0.8,15.36
375396,"7th Nov 25, 01:39","Cact-eye Zip Up Hoodie - 3X-Large",6914356281390,"DIRT027-3X",1,50,0,50,9.6,2,38.4
375365,"6th Nov 25, 19:28","Banjo Crop - Small",7205631721518,"DIRT058-S",1,45,0,45,8.64,1.8,34.56
375333,"6th Nov 25, 11:56","Dirtwire All Birds Sticker",7207939440686,"DIRT076",1,5,0,5,0.96,0.2,3.84
375333,"6th Nov 25, 11:56","Banjo Tee (Atlantic) - Medium",7207939211310,"DIRT075-M",1,40,0,40,7.68,1.6,30.72
375333,"6th Nov 25, 11:56","Dirtwire Koozie",7205634146350,"DIRT065",3,15,0,15,2.88,0.6,11.52
374997,"2nd Nov 25, 22:38","Elk Zip Hoodie - Large",6902489284654,"DIRT001-L",1,65,0,65,12.48,2.6,49.92
374997,"2nd Nov 25, 22:38","The Four Directions Leggings - Medium",6933966553134,"DIRT030-M",1,45,0,45,8.64,1.8,34.56
374121,"24th Oct 25, 15:49","Pyrochrome - LP",7165521199150,"DIRT057-LP",1,35,0,35,5.04,1.4,28.56
"Summary",,,,,63,1510,0,1510,278.16,60.39999999999999,1171.4399999999998